Core.ID;F.WC;A.Max;Flux;Site.ID
Alf;;;0.004228558;Alfacs
Enc;;;0.025116871;Encanyissada
Seni;;;0.083697475;Senillar de Moraira
Albuf;;;0.120040468;Albufera de Adra
