"","core","stockwc","maxd","stock","stock_se"
"1","A1_M1",0.440948157050408,37,0.951983857378265,0.0528240908287634
"2","A1_M2",0.499428349024571,36,1.03411819683607,0.10340648381327
"3","A1_M3",0.475561068079527,36.5591397849462,0.943339250225326,0.0683588790286947
"4","A2_M1",1.19749270150512,43.588235294374,2.88854227323206,0.161237369143246
"5","A2_M3",1.05421526697573,37.9455445546095,2.9489953536362,0.0863359386466012
"6","A2M2",1.04364613706165,36.9085545724282,2.93485955958803,0.319573262411463
"7","AG.D-A",2.48410130396738,133.07770384572,1.96220862312166,NA
"8","AG.D-C",0.860251857589881,54.574299312533,1.55052662265427,0.0530114779670881
"9","AG.I-A",2.37068455134384,165.451895043732,1.17418832974341,NA
"10","AG.I-B",1.27783524798711,86.2650602409638,1.37145568745321,0.0844226469512291
"11","AG.I-C",0.18202880990005,30.5290944565592,0.503251659433949,0.0562225506880749
"12","AG.S-A",4.82700637551039,170.389131936449,3.38782214832658,NA
"13","AG.S-B",2.51499386571439,99.5536842098451,2.38296385968144,0.0924109872691788
"14","AG.S-C",2.23739216928363,124.304518930655,1.75529755442216,NA
"15","AL.S-A",1.80714018763362,106.919507766794,1.72935833104666,NA
"16","AR B-R1",0.154624466142025,30,0.513993763175613,0.000857168494517677
"17","AR B-R2",0.149846808805903,30,0.519850582734802,0.00711219363389294
"18","AR B-R3",0.161171837943723,30,0.543374588955267,0.00514836942585819
"19","AR E-R1",0.149005549200698,30,0.491727136394458,0.00494524076133068
"20","AR E-R2",0.165041387575649,30,0.53936500028469,0.00497173535455678
"21","AR E-R3",0.141263904860836,30,0.472700642302503,0.00147287619487953
"22","AR I-R1",0.165824302921936,30,0.548425119334856,0.000837788413691533
"23","AR I-R2",0.153276150238221,30,0.497879362026451,0.0101428674844708
"24","AR I-R3",0.156819257365649,30,0.52090765094235,0.009801539943087
"25","Av_Zn A",23.613069415575,41.7352941186291,57.8561214379155,0.680982206851855
"26","Av_Zn B",26.2023919103563,44.500000000061,57.2429667692121,0.820802927302998
"27","Av_Zn C",22.3176489155076,49.0972222241997,46.2826048041502,0.596618845080106
"28","BA.S-A",0.332567178061856,116.511318242344,0.289407484689799,NA
"29","BA.S-B",0.222152140418399,114.429049211658,0.1956969633939,NA
"30","BA.S-C",0.238994224290527,105.224429727741,0.2221195759396,NA
"31","BA.SC-A",0.264774937875264,102.360308285164,0.261015199159662,NA
"32","BA.SC-B",0.282686786132028,98.0571428571428,0.28779048530067,0.0027594907148994
"33","BA.SC-C",0.268857860727899,109.236031927024,0.241009899026174,NA
"34","BS1_a3",0.628979763495092,38.8888888888889,1.59231611094026,0.100869940845005
"35","BS1a1",0.673752632353,33.3249999999833,1.9355498147332,0.0770055254801394
"36","BS1A2",0.693677208139771,37.9787234042957,1.73508026302477,0.103513608879347
"37","BS2_a1",0.407768805476,31,1.24767764120846,0.0612152279149782
"38","BS2_a3",0.326646394505,33.7815126049285,0.660974280791192,0.0590730643026506
"39","BS2_B1",0.126860389285154,33,0.399353219630455,0.0235860771022386
"40","BS2_B2",0.180095840365,35.5833333332266,0.476578873940968,0.0858747089056161
"41","BS2_C2",0.242541930136015,31.8493150686022,0.778493322086468,0.027710928271504
"42","BS2A2",0.421404055662887,35,1.02424425328285,0.117487877954223
"43","Bs2B3",0.304805072726432,25.381263616623,1.2643838643226,0.0778908873120858
"44","BS2C1",0.220231830248968,37,0.658456024588423,0.084573240779757
"45","BS2C3",0.067557114264,36.1931818182929,0.169115069509321,0.0421410710592425
"46","BS3_C1",0.469953965279,34.7888888893141,1.34853871382842,0.0175276458511442
"47","BS3C2",0.446251449352,32.8988764045535,1.25987170361993,0.0605154223820961
"48","BS3C3",0.580629788172,32.413793103575,1.88387211091642,0.0873342766379476
"49","CA.S-A",1.11117326301562,58.3830435334433,1.90025314818853,0.0174884769855134
"50","CA.S-B",0.640678366528926,62.0017714791851,1.09869181432644,0.0328342095787723
"51","CA.S-C",0.965517125331136,74.9497759233503,1.22906555368223,0.0299397621064347
"52","CA.SC-A",0.503964981756441,51.6666666666667,0.97809562535639,0.0314744059465831
"53","CA.SC-B",0.595477213270754,38.9805097451274,1.53264783607536,0.108438316301179
"54","CA.SC-C",1.18788402825582,62.9434653238727,2.02481631448787,0.0615811739303692
"55","CAB B-R1",0.123984586880225,30,0.393849209093513,0.0225843912214261
"56","CAB B-R3",0.116101015404973,30,0.381399770038121,0.0178213105742047
"57","CAB E-R1",0.120273285622891,30,0.385806107711758,0.0115327038547352
"58","CAB E-R2",0.31017555039379,30,0.520889296071622,0.0161289246677826
"59","CAB E-R3",0.135172626107091,30,0.453969662441608,0.0054450349718793
"60","CAB I-R1",0.12649995982097,30,0.391034949925756,0.0152523871476746
"61","CAB I-R2",0.12956550894827,30,0.411641643427675,0.00915359836635124
"62","CAB I-R3",0.129042161476982,30,0.396329236999136,0.0198659665610144
"63","CD-01",0.574110645048343,38.5673170001553,1.52735514603967,0.00598925651215489
"64","CD-02",0.311108148892317,36.1568596876456,0.852489294738636,0.0133122763359773
"65","CD-04",0.313124889796016,36.1568596876456,0.915048758652465,0.0104079800568912
"66","CLL-01",0.311643234366896,56.5480006759386,0.561226623687662,0.00613114485945282
"67","CLL-03",0.273473577496218,51.7010291894296,0.517518311603999,0.00521725755640772
"68","CLL-04",0.387909216999987,56.5480006759386,0.6569929432935,0.00868723312218943
"69","CP1",0.153357712356,41.2371134020619,0.361360856161954,0.00728375622280902
