Site ID;Sample ID;Ecosystem;Specie;Tissue;TOC
ME_Sm;Minho P8 27-07-2022;Salt Marsh;Scirpus maritimus;Aboveground;37.09
ME_Sm;;Salt Marsh;Scirpus maritimus;Belowground;38.81
ME_J;Minho P9 27-07-2022;Salt Marsh;Juncus maritimus;Aboveground;40.00
ME_J;;Salt Marsh;Juncus maritimus;Belowground;37.10
ME_Sp;Minho P11  28-07-2022;Salt Marsh;Spartina patens;Aboveground;41.86
ME_Sp;;Salt Marsh;Spartina patens;Belowground;42.19
ME_J;Minho P12 28-07-2022;Salt Marsh;Juncus maritimus;Aboveground;40.46
ME_J;;Salt Marsh;Juncus maritimus;Belowground;38.30
NPCB-CLICA_Sc;ES_2_VDE3_B;Salt Marsh;Sarcocornia;Aboveground;32.99101648
NPCB-CLICA_Sc;ES_2_VDE4_B;Salt Marsh;Sarcocornia;Aboveground;28.70015702
NPCB-CLICA_Sc;ES_2_VDE4_B;Salt Marsh;Sarcocornia;Aboveground;29.11425209
NPCB-CLICA_Sc;ES_2_VDE8_B;Salt Marsh;Sarcocornia;Aboveground;30.36916475
NPCB-CLICA_Sc;ES_2_VDE2_A;Salt Marsh;Sarcocornia;Aboveground;34.21932903
NPCB-CLICA_Sc;ES_2_VDE3_A;Salt Marsh;Sarcocornia;Aboveground;29.04289265
NPCB-CLICA_Sc;ES_2_VDE3_A;Salt Marsh;Sarcocornia;Aboveground;28.30079032
NPCB-CLICA_Sc;ES_2_VDE4_A;Salt Marsh;Sarcocornia;Aboveground;30.53330462
NPCB-CLICA_Sc;ES_2_VDE2_C;Salt Marsh;Sarcocornia;Aboveground;32.3240324
NPCB-CLICA_Sc;ES_2_VDE3_C;Salt Marsh;Sarcocornia;Aboveground;34.8179946
NPCB-CLICA_Sc;ES_2_VDE4_C;Salt Marsh;Sarcocornia;Aboveground;30.51706212
NPCB-CLICA_Sc;ES_2_VDE2_D;Salt Marsh;Sarcocornia;Aboveground;24.11031301
NPCB-CLICA_Sc;ES_2_VDE3_D;Salt Marsh;Sarcocornia;Aboveground;30.0631234
NPCB-CLICA_Sc;ES_2_VDE3_D;Salt Marsh;Sarcocornia;Aboveground;30.58839144
NPCB-CLICA_Sc;ES_2_VDE4_D;Salt Marsh;Sarcocornia;Aboveground;22.06469112
NPCB-BOLI_Sm;ES_1_VDE2_A;Salt Marsh;Spartina maritima;Aboveground;40.95848355
NPCB-BOLI_Sm;ES_1_VDE3_A;Salt Marsh;Spartina maritima;Aboveground;38.65021245
NPCB-BOLI_Sm;ES_1_VDE4_A;Salt Marsh;Spartina maritima;Aboveground;38.3696932
NPCB-BOLI_Sm;ES_1_VDE4_A;Salt Marsh;Spartina maritima;Aboveground;39.35520438
NPCB-BOLI_Sc;ES_1_VDE10_A;Salt Marsh;Sarcocornia;Aboveground;31.24169532
NPCB-BOLI_Sc;ES_1_VDE11_A;Salt Marsh;Sarcocornia;Aboveground;31.85427758
NPCB-BOLI_Sc;ES_1_VDE12_A;Salt Marsh;Sarcocornia;Aboveground;28.43852295
NPCB-BOLI_Sm;ES_1_VDE2_B;Salt Marsh;Spartina maritima;Aboveground;40.21940592
NPCB-BOLI_Sm;ES_1_VDE3_B;Salt Marsh;Spartina maritima;Aboveground;39.95158527
NPCB-BOLI_Sm;ES_1_VDE3_B;Salt Marsh;Spartina maritima;Aboveground;41.76895695
NPCB-BOLI_Sm;ES_1_VDE4_B;Salt Marsh;Spartina maritima;Aboveground;40.12413811
NPCB-BOLI_Sc;ES_1_VDE10_B;Salt Marsh;Sarcocornia;Aboveground;30.01348817
NPCB-CLICA_Sc;ES_2_VDE6_A;Salt Marsh;Sarcocornia;Aboveground;31.60395327
NPCB-BOLI_Sc;ES_1_VDE12_B;Salt Marsh;Sarcocornia;Aboveground;28.1481549
NPCB-BOLI_Sc;ES_1_VDE10_C;Salt Marsh;Sarcocornia;Aboveground;30.40163951
